age,income,employment_type,marital_status,time_spent_on_platform,number_of_sessions,fields_filled_percentage,previous_year_filing,device_type,referral_source,completed_filing
63,36932,part_time,divorced,80.62689735405795,13,0.8305401645217501,0,tablet,organic_search,0
25,91927,full_time,single,130.1186004800013,13,0.9340899979756836,0,desktop,social_media_ad,1
50,67258,contractor,married,113.4457752643452,4,0.9690648452882364,0,mobile,friend_referral,1
55,41153,unemployed,divorced,131.417142995144,8,0.8795797054047512,0,tablet,friend_referral,1
62,21996,unemployed,married,73.06648554526652,12,0.5315313141607932,1,mobile,social_media_ad,1
42,87914,contractor,divorced,87.35470012953813,11,0.7044202206334851,0,tablet,organic_search,1
45,42813,contractor,single,116.73182526239091,14,0.6929079505283706,0,desktop,organic_search,1
21,20924,part_time,divorced,114.5724992873244,10,0.6686854406331788,0,mobile,organic_search,1
34,102524,full_time,single,82.32853312220888,13,0.9987892522767254,0,tablet,social_media_ad,1
42,31350,unemployed,married,112.78263517371164,16,0.6779073590644309,1,desktop,friend_referral,1
46,32632,unemployed,divorced,98.73337186982316,9,0.7570666877964278,0,tablet,organic_search,1
43,113301,contractor,single,108.00928911098688,7,0.5470818617513613,0,tablet,organic_search,1
39,97273,contractor,single,97.12159539928264,17,0.6733680295423286,1,tablet,social_media_ad,1
24,21541,unemployed,divorced,80.9032380639295,15,0.4357520763874747,1,desktop,organic_search,1
38,116444,contractor,single,110.94062218104784,9,0.4198558790469238,0,desktop,social_media_ad,1
65,22962,part_time,married,116.33968653308057,8,0.9779402710397062,0,mobile,social_media_ad,1
54,108635,contractor,single,121.77136427988285,17,0.6039298975255902,1,desktop,friend_referral,1
64,90411,full_time,divorced,106.2194242782543,4,0.7375480551405955,0,tablet,social_media_ad,1
62,60875,unemployed,single,65.77347563181632,9,0.4676413260843793,1,desktop,organic_search,1
54,21269,part_time,single,94.93985730402449,10,0.4346154251751651,1,mobile,friend_referral,1
35,22779,part_time,single,130.660337439556,10,0.724433363811924,1,desktop,social_media_ad,0
36,24136,full_time,married,138.0581793239793,9,0.4252768117763786,0,tablet,social_media_ad,1
28,36351,part_time,divorced,135.76971535956525,14,0.513613773483226,0,mobile,social_media_ad,0
42,41498,full_time,divorced,77.93907105047307,6,0.825937657519014,1,tablet,friend_referral,1
36,34678,part_time,married,70.54928966279935,10,0.7070501366722317,1,mobile,friend_referral,1
43,26135,full_time,divorced,109.8211466770893,8,0.701381477781083,0,tablet,organic_search,1
61,109826,unemployed,married,96.65524215429176,13,0.6480919316742411,0,desktop,friend_referral,1
61,40316,full_time,married,111.09464137697115,15,0.5394283891229807,1,mobile,social_media_ad,1
62,53132,contractor,single,106.95884233997243,12,0.7967365025641564,0,mobile,social_media_ad,1
60,105216,full_time,divorced,121.48046745028569,17,0.476188973990878,0,mobile,social_media_ad,1
34,45791,unemployed,divorced,103.176517984193,4,0.6635970677638372,1,mobile,social_media_ad,1
54,119189,full_time,married,108.59790069409816,9,0.6578629028729466,1,tablet,organic_search,0
53,80739,full_time,divorced,131.025623978027,10,0.4966223144222809,0,mobile,social_media_ad,1
53,103123,part_time,married,108.38451297502048,8,0.4515664160370577,1,desktop,social_media_ad,1
49,40008,contractor,single,72.3201373456953,4,0.8022783140761607,1,desktop,organic_search,1
26,108150,full_time,married,124.50200584935874,11,0.7086268738867185,0,mobile,organic_search,1
35,26789,unemployed,divorced,83.00966337515737,13,0.5728619258627037,0,desktop,social_media_ad,1
26,117820,part_time,divorced,70.95890486154755,8,0.4208117411238142,1,desktop,organic_search,1
36,34116,contractor,single,110.37543828686464,12,0.8515406333839535,1,desktop,friend_referral,1
58,55595,unemployed,divorced,107.61748214643782,9,0.8283605940060847,0,mobile,social_media_ad,1
44,111493,full_time,divorced,89.90661487191211,10,0.9751054771320904,0,mobile,friend_referral,1
52,32453,unemployed,single,126.17125061242264,8,0.5935834250216838,1,mobile,friend_referral,1
24,42490,unemployed,single,69.48370034768422,11,0.4447605893901583,0,mobile,social_media_ad,0
39,52330,contractor,single,79.83541651090243,17,0.6504889599322505,0,mobile,organic_search,1
38,45256,part_time,single,74.82757485264113,8,0.8529399040432608,1,tablet,social_media_ad,1
24,37929,full_time,divorced,103.43426549013545,8,0.8619068973636805,0,mobile,organic_search,0
52,34908,part_time,single,74.99493196159312,11,0.4745930807075985,0,tablet,friend_referral,1
50,50771,contractor,single,114.25888118902908,13,0.5607539557045301,0,mobile,social_media_ad,0
28,105678,full_time,single,147.36963418650762,13,0.4734434871432814,1,desktop,organic_search,1
56,69597,full_time,married,110.25363949469966,6,0.929992687093297,0,desktop,friend_referral,1
52,68940,part_time,married,104.64851399194738,10,0.9584258980514284,0,mobile,social_media_ad,1
54,48229,unemployed,divorced,85.24864858075306,11,0.5161286554449825,1,tablet,social_media_ad,1
35,100021,part_time,single,109.7384989442376,12,0.6772618134844204,1,tablet,social_media_ad,1
29,56683,contractor,married,79.43817112300282,6,0.9066335072204807,0,tablet,organic_search,0
51,86922,contractor,single,82.62817191296158,11,0.5778666681806323,0,tablet,organic_search,0
52,105824,part_time,married,87.61881860001566,6,0.8534444659019849,0,desktop,social_media_ad,1
